review_id,review_text,rating,sentiment_score
1,Purpose boy job cup decision girl now get job yard. Great service Great service Great service,4.5,0
2,Prevent production able both the box school way issue grow action figure one. Food was cold Food was cold Food was cold,2.1,-4
3,Family station listen agreement more kitchen lose hour hour. Driver was polite Driver was polite Driver was polite,4.5,2
4,World north people area everything enter beyond Democrat beautiful very. Driver was polite Driver was polite Driver was polite,2.6,4
5,Hand way yourself tax whether sister anyone effect fact hospital dream party. Highly recommend Highly recommend Highly recommend,3.6,3
6,Receive establish toward wonder writer thus teacher this job training pull professional buy. Driver was polite Driver was polite Driver was polite,1.9,3
7,Check public Democrat them between property write. Driver was polite Driver was polite Driver was polite,3.3,3
8,Prove movement event identify company force machine himself experience. Driver was polite Driver was polite Driver was polite,1.5,3
9,Suddenly enjoy memory maintain guess good senior service important likely daughter drive hard. Highly recommend Highly recommend Highly recommend,2.8,3
10,Drive process accept owner statement role camera although stock rise he reason blood. Awful delay Awful delay Awful delay,2.5,-6
11,Plant quite support grow hope politics under film involve. The delivery was fast! The delivery was fast! The delivery was fast!,2.5,4
12,Official Democrat good recognize less perhaps. Driver was polite Driver was polite Driver was polite,2.9,3
13,Sure audience ground need give particularly situation carry. Highly recommend Highly recommend Highly recommend,4.6,3
14,Create eat walk reveal nice career teach language model probably computer. Food was cold Food was cold Food was cold,2.6,-2
15,Build late customer position dog our anything either including society nation. Highly recommend Highly recommend Highly recommend,3.6,3
16,Occur memory thank reason campaign certainly class. Awful delay Awful delay Awful delay,1.8,-6
17,Statement without part deep improve week least these ask provide trial force compare. The delivery was fast! The delivery was fast! The delivery was fast!,3.8,4
18,Opportunity technology say hot together since decide listen after reflect success city from. Awful delay Awful delay Awful delay,2,-4
19,Individual politics price necessary Republican factor continue senior every. Food was cold Food was cold Food was cold,4.7,-3
20,Animal to who book research us condition skin baby watch enjoy today. Awful delay Awful delay Awful delay,3.6,-5
21,Animal partner crime rock full office national federal heart serve day. Awful delay Awful delay Awful delay,2.3,-7
22,Admit read cause do word help. The delivery was fast! The delivery was fast! The delivery was fast!,3.8,3
23,Low far general easy mind will from. Food was cold Food was cold Food was cold,1.9,-2
24,Nor color wear pay way same economy above prevent. Great service Great service Great service,2.2,0
25,Lead shoulder town major start successful stand catch people feel person. Driver was polite Driver was polite Driver was polite,1.1,5
26,Increase young ball probably yet set onto size computer plan hear. Food was cold Food was cold Food was cold,1.3,-3
27,Discuss reveal magazine news commercial wear Democrat interesting first behavior along more college. Driver was polite Driver was polite Driver was polite,4.6,3
28,Lawyer certain do response nearly body. Food was cold Food was cold Food was cold,4.8,-3
29,Street wide support begin better many situation. Driver was polite Driver was polite Driver was polite,2.2,4
30,Discover deal more worker bar generation dog medical. Driver was polite Driver was polite Driver was polite,2.4,3
31,Always style reflect yeah parent ten such. Great service Great service Great service,3.8,0
32,Simply together edge week able just control car focus reason. The delivery was fast! The delivery was fast! The delivery was fast!,1.5,3
33,Entire official along must lead rest sit rock yet those player. The delivery was fast! The delivery was fast! The delivery was fast!,1.6,4
34,Call decision since compare popular mother sing. Driver was polite Driver was polite Driver was polite,4.7,4
35,Among early affect environmental house off unit bring. Awful delay Awful delay Awful delay,1.8,-6
36,Available pick usually evening news give appear likely change reveal work. Food was cold Food was cold Food was cold,2.4,-3
37,Anyone century pattern claim half possible culture involve seem wait language age source. The delivery was fast! The delivery was fast! The delivery was fast!,3.4,3
38,This degree than through seat thought report all. Food was cold Food was cold Food was cold,2.4,-3
39,Party compare do lot return number need amount final mean key. Great service Great service Great service,2.5,0
40,Discussion series ball paper seem gas. Awful delay Awful delay Awful delay,3.1,-6
41,Talk audience city paper nearly movie money herself. Awful delay Awful delay Awful delay,4.3,-6
42,Contain PM dinner forward book sort man account upon without religious at. Awful delay Awful delay Awful delay,2.3,-6
43,Occur season measure a mother thing bring life. Awful delay Awful delay Awful delay,4.3,-6
44,Dog letter probably bar reality indeed place step participant even consumer short. The delivery was fast! The delivery was fast! The delivery was fast!,4.7,3
45,Tend exactly it improve consider friend. Great service Great service Great service,2.2,1
46,Piece television offer box shake tax create. Food was cold Food was cold Food was cold,2.6,-4
47,Prepare we now over mouth suggest party step board thank respond. Food was cold Food was cold Food was cold,3.6,-3
48,Here half change much opportunity term fill sometimes especially. The delivery was fast! The delivery was fast! The delivery was fast!,2.7,3
49,Imagine give free himself office difficult buy likely politics hold a. Great service Great service Great service,2.6,0
50,Total dog treat heart evening democratic use them. The delivery was fast! The delivery was fast! The delivery was fast!,2.8,3
51,Answer skill analysis similar what policy man along not become reach field. Awful delay Awful delay Awful delay,3.7,-5
52,Begin century here husband enough training wear white identify everybody vote within least. Food was cold Food was cold Food was cold,3.8,-3
53,Religious successful establish action return level sport box information within art education by. Highly recommend Highly recommend Highly recommend,3.6,4
54,Speak anyone purpose author million benefit than reach. Great service Great service Great service,3.4,1
55,Company mean somebody suggest rich itself program. Driver was polite Driver was polite Driver was polite,4.6,4
56,Notice next laugh fish would end soon stage project lay join. Great service Great service Great service,3,0
57,Other population hold protect foreign bring eat brother difference themselves. Awful delay Awful delay Awful delay,3.9,-5
58,One increase sound hand describe success apply cover cost event. The delivery was fast! The delivery was fast! The delivery was fast!,3.7,4
59,Thing drop choose majority natural break give indicate yourself both market sing hope. Awful delay Awful delay Awful delay,3.6,-7
60,Authority early young plan bank certain might. Driver was polite Driver was polite Driver was polite,4.8,3
